idx,질문,카테고리
254,외국 여행을 가기 전에 꼭 알아 두어야 하는 것들은 어떤 것이 있습니까? 모두 말해 보세요.,모의고사
255,여행하면서 불편했던 경험이 있었다면 무엇인지 말해 주세요.,여행
256,고향에 돌아갔을 때 가장 그리울 것 같은 한국 문화는 무엇인가요?,모의고사
257,친밀감을 표현하는 방식에 있어 한국과 고향이 서로 다른 점이 있다면 그것은 무엇인가요?,모의고사
258,한국 사람들이 외모를 꾸미는 스타일과 고향 사람들의 스타일은 무엇이 다릅니까?,모의고사
259,한국 사람들의 옷차림과 출신 나라의 옷차림이 어떻게 다른가요?,한국
260,여러분에게 가장 자랑스러운 점은 무엇인가요? 왜 그것이 자랑스러운가요?,모의고사
261,살면서 가장 부끄러웠던 경험은 무엇인가요?,모의고사
214,한국어를 잘할 수 있는 가장 좋은 방법이 무엇이라고 생각합니까? 그 이유는 무엇입니까?,논술
263,한국의 식당과 고향의 식당의 다른 점은 무엇인지 두 가지로 설명해 주세요.,모의고사
264,한국에 고향의 음식을 파는 식당이 있습니까? 음식 맛이 어떤 것 같아요? 맛과 가격에 대해서 말해 보세요.,음식
265,"한국 식당에서는 밥만 시켜도 밥과 함께 먹을 수 있는 ‘반찬’을 주는 문화가 있습니다. 살던 나라의 식당과 비교하였을 때, 어떤 점에서 비슷하거나 다른지 두 가지로 설명해 주세요.",음식
266,한국 식당에서 종업원을 부를 때 벨을 누릅니다. 고향의 식당에서도 똑같은 방식을 사용하는지에 대해 말해 주세요.,모의고사
282,"결혼하면 이전과 어떤 점이 달라질 것 같나요? 결혼했다면, 어떤 점이 달라졌나요?",모의고사
268,한국의 전통 의복인 한복을 보신 적이 있나요? 어떤 느낌이었는지 말해 주세요.,모의고사
269,한국 전통 건물과 살던 곳의 전통 건물은 어떻게 다른지 설명해 주세요.,한국
270,"한국에는 아파트가 많은데요, 고향에서는 사람들이 어떤 집에 많이 사나요?",배경지식
271,젓가락을 사용해서 밥을 먹을 수 있나요? 할 수 있다면 어떻게 배웠는지 말해 주세요. 없다면 왜 젓가락을 사용하지 않는지에 대해서 말해 주세요.,배경지식
272,처음에 한국이라는 나라와 문화를 어떻게 접했나요?,한국
273,한국에 오기 전에 생각했던 한국의 모습과 실제 한국의 모습에 다른 점이 있나요?,한국
274,한국에서 살면서 한국인의 오해를 살 뻔한 행동을 하거나 실수를 한 적이 있었나요? 그것은 무엇이었나요?,모의고사
275,"한국은 외국인이 살기 좋은 나라입니까, 아닙니까? 그 이유는 무엇입니까?",모의고사
276,한국에서 살면서 가장 적응하기 어려웠던 문화는 무엇이었나요? 그 이유는 무엇인가요?,모의고사
277,한국에서 살면서 가장 적응하기 쉬웠던 문화는 무엇이었나요? 그 이유는 무엇인가요?,모의고사
278,외국인이 한국 문화를 잘 이해하기 위해서 어떤 활동을 하면 좋다고 생각합니까? 모두 말해 보세요.,모의고사
279,한국의 특징에 대해 고향 사람들에게 설명한다면 어떻게 설명하시겠습니까?,한국
280,한국 생활에 적응하기 위해 가장 필요한 것은 무엇이라고 생각하십니까? 그 이유는 무엇입니까?,한국
281,"최근에 아는 사람의 결혼식에 간 적이 있나요? 누가, 어디서 결혼했나요? 그 결혼식은 어땠나요?",모의고사
283,좋은 부모란 어떤 사람이라고 생각합니까? 좋은 부모의 특징을 두 가지 말해 주세요.,모의고사
364,결혼하려고 하는 사람들이 결혼하고 싶어 하는 이유가 무엇이라고 생각하나요?,모의고사
284,어렸을 때 가장 존경했던 사람은 누구인가요? 왜 그랬나요?,모의고사
285,어렸을 때 배우면 좋은 분야는 무엇이라고 생각합니까?,모의고사
286,"외식하기 위해 식당을 고를 때, 가장 중요하게 생각하는 것은 무엇입니까? 그 이유는 무엇입니까?",음식
287,"막걸리, 소주와 같은 한국 술과 살던 나라에서 마시던 술의 차이점을 두 가지 이상 말해 주세요.",모의고사
288,당신이 제일 좋아하는 채소는 무엇인가요? 이유를 말해 주세요.,음식
365,결혼하지 않으려고 하는 사람들이 결혼하고 싶어 하지 않는 이유가 무엇이라고 생각하나요?,논술
290,지금 살고 있는 집을 고른 이유는 무엇인가요? 어떤 점이 좋아서 그 집에서 살기로 했나요?,논술
367,살면서 가장 감사하게 생각하는 일은 무엇인가요?,논술
292,가장 최근에 본 영화가 무엇인가요? 내용을 간략하게 말해 주세요.,취미
293,한국 가수 중 좋아하거나 아는 가수가 있나요? 그 가수에 대해 설명해 주세요.,배경지식
294,잠을 자지 못하고 밤새 깨어있었던 적이 있나요? 왜 밤을 새우게 되었나요?,모의고사
295,외출하고 집에 돌아와서 가장 먼저 하는 일이 무엇인가요?,모의고사
296,여러분의 고향에서는 사람들이 운동을 많이 하는 편인가요? 어떤 운동을 많이 하나요?,배경지식
12,사계절 중 가장 좋아하는 계절이 무엇인가요? 그 이유를 말해 주세요.,논술
298,가장 최근에 들은 음악은 무엇이었나요? 어떤 음악이었나요? 그 음악을 좋아하나요?,취미
299,"연극, 뮤지컬, 오페라, 연주회, 콘서트 중에서 가장 가고 싶은 것은 무엇인가요? 왜 가고 싶은가요?",취미
300,좋아하는 한국 노래는 무엇인가요? 왜 그 노래를 좋아하나요? 좋아하는 한국 노래가 없다면 아는 한국 노래와 그 노래에 대해 어떻게 알게 되었는지 말해 주세요.,모의고사
301,싸이의 '강남스타일'을 아나요? 이 노래를 언제 처음 어디서 접하게 되었나요?,한국
302,방탄소년단의 노래와 멤버에 대해서 아는 만큼 말씀해 주세요.,한국
303,여러분은 노래와 춤 중에 무엇을 더 잘하는 편인가요?,취미
304,한국 음식은 건강한 음식이라고 생각하시나요? 이유를 말해 주세요.,모의고사
305,"한국 음식에는 김치, 라면처럼 매운 음식이 많습니다. 여러분의 고향에도 매운 음식이 많이 있나요? 한국과 비교하면 어떤가요?",음식
306,여러분의 고향에서는 사람들이 어떤 맛을 좋아하나요?,음식
307,한국 음식 중에서 외국인들 입맛에도 맞을 것 같은 음식은 무엇이라고 생각합니까? 그 이유는 무엇입니까?,음식
308,배달 음식을 자주 먹는 편인가요? 무엇을 자주 시켜 먹나요? 이유와 함께 말해 보세요.,음식
309,"이 세상의 누구나 초대할 수 있다면, 저녁 식사에 누구를 초대하시겠어요? 이유와 함께 말해 주세요.",배경지식
19,배워보고 싶은 악기가 있나요? 어떤 악기를 배워보고 싶은지 이유와 함께 말씀해 주세요.,모의고사
311,요즘 젊은이들이 제일 관심을 가지는 것이 무엇이라고 생각하시나요? 그 이유는 무엇입니까?,배경지식
312,몇몇 한국인들은 얼굴 크기가 작을수록 좋다고 생각합니다. 이에 대해 어떻게 생각하시나요?,모의고사
313,몇몇 한국인들은 하얀 피부를 아름답다고 생각합니다. 이에 대해 어떻게 생각하시나요? 여러분의 나라에서도 비슷한가요?,배경지식
314,다이어트를 해본 적이 있나요? 본인이 시도한 다이어트 방법을 공유해 주세요. 얼마나 효과가 있었나요?,모의고사
21,계획에 따라 사는 편인가요? 아니면 상황에 따라 그때그때 선택하며 사는 편인가요?,모의고사
316,한국의 버스와 지하철에는 노약자 보호석이 있습니다. 노약자 보호석에 대해서 어떻게 생각하시나요?,배경지식
317,한국에서는 새로운 사람을 만나서 대화할 때 나이를 물어보는 것을 당연하게 생각합니다. 이는 고향의 문화와 비슷한지 아니면 다른지 설명해 주세요.,배경지식
318,한국에서는 상대방에게 고개를 숙여서 인사합니다. 고향에도 이런 특별한 인사 문화가 있습니까?,모의고사
319,한국 사람들의 성격과 당신의 고향 사람들의 성격이 비슷한가요? 다른가요?,모의고사
320,한국에서는 많은 학생들이 피씨방에 가서 컴퓨터 게임을 합니다. 고향에서 학생들은 놀 때 무엇을 하나요?,모의고사
321,한국 배우 중 좋아하거나 아는 배우가 있나요? 그 배우를 모르는 사람에게 설명하듯 자세히 설명해 주세요.,모의고사
322,"최근에 본 한국 드라마에 대해 설명해 주세요. 한국 드라마를 보지 않는다면, 알고 있는 한국 드라마에 대해 설명해 주세요.",모의고사
54,당신이 가진 물건 세 가지를 말해 주세요. 이 중에서 가장 좋아하는 물건이 무엇인지 이유와 함께 말해 보세요.,논술
324,누군가와 싸우고 크게 후회한 경험이 있나요? 언제였나요?,모의고사
325,한국은 교육열이 높은 나라로 알려져 있습니다. 본인의 고향 또한 교육열이 높은 편입니까? 예시를 들어서 설명해 주세요.,모의고사
326,"한국의 고등학교에서는 '국어', '영어', '수학'이 중요한 과목입니다. 여러분의 나라에서는 어떤 과목이 가장 중요한 과목인가요?",배경지식
67,사는 곳이나 직장 주변에 산책하기 좋은 곳이 있나요? 어떤 곳인지 말해 주세요.,논술
328,한국 학생들은 학교 수업을 마친 후 학원에 다니는 경우가 많습니다. 여러분의 나라에서는 학생들은 학교 수업 후 주로 무엇을 하나요?,모의고사
329,"한국의 대학 입학시험인 '수능'은 1년에 한 번밖에 없습니다. 시험을 망치거나 아파서 못 보게 된다면 1년을 기다려서 다시 쳐야 하는데, 이에 대해 어떻게 생각하시나요?",배경지식
330,당신이 가장 행복했던 순간은 언제인가요?,모의고사
81,어떤 일을 처리할 때 전화를 하는 편인가요? 직접 방문하는 편인가요? 왜 그런가요?,모의고사
332,여러분이 원하는 능력 하나를 가질 수 있다면 무엇을 고르겠습니까? 이유는 무엇입니까?,모의고사
333,인간이 아닌 다른 존재로 태어날 수 있다면 무엇으로 태어나고 싶습니까? 그 이유는 무엇인가요?,모의고사
334,한국에서 “어느 대학 다니셨나요?”라고 물어보는 것은 무례한 질문이라고 느껴질 수 있습니다. 왜 그럴까요?,모의고사
335,평소에 뉴스나 신문을 보나요? 가장 최근에 본 뉴스는 무슨 내용이었나요?,모의고사
336,한국의 전통문화 중에서 기억에 남는 것이 있나요? 인상 깊었던 한국의 전통문화를 모두 말해 보세요.,한국
88,"한국에서 취업한다면, 어떤 일을 하고 싶습니까? 어느 회사에 취직하고 싶은가요?",논술
338,한국에서는 18세 이상 성인부터 운전면허를 취득할 수 있습니다. 고향의 운전면허 취득 가능 나이는 몇 살입니까? 어떤 나이가 가장 적합하다고 생각하시나요? 이유는 무엇인가요?,배경지식
339,한국에서는 자식이 결혼 전까지 부모님과 함께 사는 게 흔합니다. 여러분의 나라에서는 어떤가요?,배경지식
159,물건을 살 때 현금과 카드 중 어떤 것을 사용하나요? 현금이나 카드 사용의 장점과 단점이 있다면 무엇일까요? 간단히 이야기해 보세요.,논술
341,한국에서 찜질방에 가보신 적이 있나요? 찜질방에서 주로 무엇을 하세요?,모의고사
342,여러분이 온 나라와 한국의 관계는 어떻다고 생각하시나요?,배경지식
343,한국의 문화 중 여러분의 나라에도 있으면 좋겠다고 생각하시는 것이 있나요? 그 이유는 무엇인가요?,한국
344,여러분이 아는 한국어 속담이 있습니까? 아는 대로 말해 주세요.,배경지식
345,주말에 업무 관련해서 상사에게 연락이 오면 어떻게 하시겠어요?,회사
346,"한국의 중학교 혹은 고등학교에는, 수업 이후 학생이 밤 10시까지 학교에 남아서 공부하게 하는 문화가 있습니다. 이에 대해 어떻게 생각하시나요? 그 이유는 무엇인가요?",배경지식
347,"한국의 중,고등학생들은 학교에서 정한 ‘교복’을 입어야 하는데요, 이에 대해 어떻게 생각하시나요? 그 이유는 무엇인가요?",배경지식
348,친구와 싸웠을 때에는 보통 어떻게 하시나요?,배경지식
349,한국에서는 만 19세부터 술을 마실 수 있습니다. 여러분의 고향에서는 몇 살부터 술을 마실 수 있나요? 어떤 나이가 적당하다고 생각하시나요? 이유를 말해 주세요.,배경지식
350,한국에서는 함께 술을 마실 때 서로 술을 따라주는 술 문화가 있습니다. 여러분의 고향에는 어떤 술 문화가 있나요?,모의고사
351,"한국에서는 술을 같이 마실 때, 첫 잔은 모두 비우는 문화가 있습니다. 여러분의 고향의 음주 문화가 한국의 음주 문화와 비슷하거나 다른 점이 있다면 두 가지로 설명해 주세요.",모의고사
352,한국에서는 집에 들어갈 때 문 앞에서 신발을 벗고 들어가야 합니다. 여러분의 고향에서는 어떤 특징이 있습니까?,배경지식
162,운동과 식습관 중에서 어느 것이 건강을 위해 더 중요하다고 생각합니까? 그 이유는 무엇입니까?,논술
291,요즘 보고 있는 TV 프로그램이 있나요? 어떤 프로그램이고 왜 그 프로그램을 보나요?,논술
355,한국은 나이가 더 많은 사람이 밥값을 내는 문화가 있습니다. 이에 대해 어떻게 생각하는지 말해 주세요.,모의고사
356,한국에서는 밥을 먹을 때 제일 나이가 많은 사람이 먹기 시작한 뒤 다른 사람들도 먹는 식사 문화가 있습니다. 이에 대해 어떻게 생각하는지 말해 주세요.,배경지식
357,한국에서는 식당에서 식사 후 나가는 길에 계산합니다. 팁을 낼 필요도 없습니다. 고향과 비슷한지 아니면 다른지에 대해서 설명해 주세요.,모의고사
358,"식당에서 밥을 먹을 때, 직원이 실수로 내가 시키지 않은 음식을 가져다준다면, 그냥 먹겠습니까? 아니면 직원에게 내가 시킨 음식으로 바꿔 달라고 말하겠습니까? 그 이유는 무엇입니까?",모의고사
359,스스로 만들 수 있는 음식이 있나요? 가장 자신 있는 요리를 말하고 어떻게 만드는지 설명해 주세요.,음식
360,한국 문화에서 가장 이해하기 어려운 문화와 그렇게 생각하는 이유를 말해 주세요.,한국
361,한국에서 인터넷을 사용할 때 불편했던 적이 있었나요? 어떤 점이 불편했나요?,한국
362,한국에서 주민 등록 번호가 없어서 불편했던 적이 있었나요? 언제인가요?,모의고사
363,국제결혼의 어려운 점은 무엇일까요? 두 가지만 말해 주세요.,모의고사
323,"당신이 드라마, 영화, 만화, 혹은 소설의 주인공이 될 수 있다면 누가 되고 싶나요? 그 이유는 무엇인가요?",모의고사
337,"길을 가다가 지갑을 주웠을 경우, 어떻게 하실 건가요?",모의고사
353,"이사를 하면 보통 '집들이'를 하는데, 초대받은 사람은 선물을 들고 가는 게 예의입니다. 당신이 집들이에 초대된다면, 어떤 선물을 가져갈 것인가요? 이유와 함께 말해 주세요.",논술
53,내일 무엇을 할 예정인가요? 아침부터 저녁까지의 일정을 간략히 말해 주세요.,본인
368,당신은 짧지만 유명하게 살고 싶나요? 아니면 별로 유명하지는 않지만 오랫동안 살고 싶나요? 그 이유는 무엇인가요?,모의고사
106,한국에서 병원을 가본 적이 있나요? 병원을 간 이유는 무엇인가요?,한국
193,출퇴근 시간에 지하철을 타본 적이 있나요? 어떤 점이 가장 힘들었나요?,교통
371,"한국어로 의사소통하는 과정에서, 잘 못 알아들어 실수한 경험이 있나요? 한 가지 설명해 주세요.",모의고사
372,한국어 표현 중 가장 좋아하는 표현은 무엇인가요? 왜 그 표현을 좋아하시나요?,배경지식
373,할 줄 아는 외국어를 모두 말해 주세요. 언제 어디에서 그것을 배우셨나요?,배경지식
374,여러분이 가지고 있는 책 혹은 읽어본 책 중 하나를 골라서 그 책이 무슨 내용인지 간략히 설명해 주세요.,취미
